Date,Open,High,Low,Close,Adj Close,Volume
11/10/95,7.875,8.5,7.625,8,8,141700
11/13/95,8.5,8.625,8,8.125,8.125,67000
11/14/95,8.125,8.625,8.125,8.125,8.125,40900
11/15/95,8.625,8.625,8.125,8.25,8.25,60200
11/16/95,8.25,8.625,8.125,8.125,8.125,44900
11/17/95,8.125,8.625,8.125,8.25,8.25,30600
11/20/95,8.25,9.125,8.25,8.5,8.5,99700
11/21/95,9,9.5,8.625,9,9,146900
11/22/95,9.5,9.5,8.75,8.75,8.75,98000
11/24/95,9.25,9.25,8.75,9.25,9.25,9700
11/27/95,9.25,9.5,8.75,8.875,8.875,84200
11/28/95,9.375,9.5,9,9,9,13500
11/29/95,9.5,9.5,9,9.21875,9.21875,56700
11/30/95,9.75,9.75,9,9.25,9.25,54700
12/1/95,9.75,9.75,9.125,9.75,9.75,78000
12/4/95,9.75,9.75,9.25,9.25,9.25,6100
12/5/95,9.625,9.75,9.25,9.375,9.375,71700
12/6/95,9.875,10.25,9.5,9.625,9.625,93900
12/7/95,10,10.25,9.375,9.375,9.375,3600
12/8/95,10,10,9.375,9.375,9.375,46000
12/11/95,9.375,9.625,9.375,9.625,9.625,15500
12/12/95,10.25,10.25,9.5,9.75,9.75,16600
12/13/95,9.5,10.25,9.5,10,10,14300
12/14/95,10.25,10.25,9.625,9.625,9.625,25900
12/15/95,10.125,10.25,9.625,10.125,10.125,10700
12/18/95,9.625,10.25,9.5,9.5,9.5,21600
12/19/95,10.25,10.25,9.5,10.25,10.25,51500
12/20/95,10.25,10.25,9.5,10.25,10.25,36600
12/21/95,10.25,10.25,9.5,10.25,10.25,20200
12/22/95,9.75,10.25,9.625,9.875,9.875,47800
12/26/95,9.75,10.25,9.625,10.25,10.25,19900
12/27/95,9.875,10,9.625,9.625,9.625,16600
12/28/95,10,10,9,9.5,9.5,17600
12/29/95,9.5,10,9.125,9.875,9.875,52500
1/2/96,10,10,9.25,9.25,9.25,25900
1/3/96,9.25,9.75,9.125,9.125,9.125,26000
1/4/96,9,9.5,9,9,9,9200
1/5/96,9.375,9.375,9,9.375,9.375,15000
1/8/96,9.375,9.375,9.375,9.375,9.375,0
1/9/96,9,9.375,9,9,9,7800
1/10/96,9.375,9.375,8.875,8.875,8.875,39400
1/11/96,9.375,9.375,9,9.125,9.125,64000
1/12/96,9.5,9.5,9,9.25,9.25,24600
1/15/96,9.5,9.5,9.25,9.375,9.375,17400
1/16/96,9.5,9.5,9.34375,9.34375,9.34375,23000
1/17/96,9.5,9.5,9.25,9.5,9.5,11600
1/18/96,9.25,9.5,9.25,9.5,9.5,17400
1/19/96,9.25,9.75,9.25,9.5,9.5,49000
1/22/96,9.875,10,9.25,10,10,18800
1/23/96,9.5,10.25,9.5,10.25,10.25,40000
1/24/96,10.25,10.25,9.5,9.5,9.5,27500
1/25/96,9.75,10.25,9.5,9.5,9.5,20900
1/26/96,10.25,10.375,9.5,9.5,9.5,53800
1/29/96,10.375,10.375,9.5,10.375,10.375,17000
1/30/96,9.5,10.375,9.5,10.375,10.375,21600
1/31/96,10.25,10.375,9.5,10.375,10.375,17000
2/1/96,9.5,11.25,9.5,11,11,50200
2/2/96,9.5,10.75,9.5,10.75,10.75,81700
2/5/96,10.5,11.5,9.5,11.25,11.25,75400
2/6/96,10.5,11.5,10,10,10,50300
2/7/96,11.25,11.25,10,10,10,23400
2/8/96,11.25,11.75,10,10.25,10.25,24400
2/9/96,11.75,11.75,10.25,10.5,10.5,61800
2/12/96,11.75,11.75,10.5,10.75,10.75,99800
